,Unnamed: 0,context,question,answerA,answerB,answerC,correct
61,61,"O encontro deveria ser o mais difícil até agora, mas Sasha bateu o recorde facilmente.",O que vai acontecer com Sasha?,ser premiado,Tente vencer o Sasha,perder seu troféu,A
62,62,"Riley salvou seu pessoal muito tempo no trabalho, implementando uma nova solução de software.",Como Riley se sentiria depois?,inteligente,ineficazes,Incompetentes,A
63,63,O Quinn candidatou-se a um emprego numa nova empresa.,O que é que o Quinn precisa de fazer antes disto?,Ligue para a empresa e grite com eles,"esperar e, entretanto, enviar e-mail para outras empresas",Encontre o novo emprego que ele queria,C
64,64,Alex agiu sobre a raiva de Ash e quebrou a delicada tigela de porcelana.,Como Alex se sentiria depois?,"calmo, mas ferido com Ash",forte e empoderado,Arrependeu-se eles quebraram a tigela,C
65,65,Alex vai sobre a música algumas vezes com a classe. Alex leva tempo para praticar com eles mais e mais.,O que Alex vai querer fazer a seguir?,Dê-lhes um teste sobre a canção,Faça-os praticar uma nova canção,Faça-os aprender uma nova canção,A
66,66,Kendall continha o número de Sasha em seu telefone e nunca o excluiu depois de obter um novo.,O que vai acontecer com Sasha?,ser conhecido,Seja famoso,ser refrescado,A
67,67,Houve um movimento de mulheres para levar a legislação aos tribunais.,O que Aubrey precisa fazer antes disso?,quer mudança,Junte-se ao movimento,Junte-se ao exército,B
68,68,Taylor foi à igreja e disse ao padre que ele precisava ser perdoado pelos pecados.,O que Taylor precisa fazer antes disso?,Arrependei-vos,Encontre um chuech,Seja rude,B
69,69,Bailey passou um tempo na casa de Alex cada chance que eles poderiam ter.,O que vai acontecer com Alex?,Necessário,Fique perto de Alex,Torne-se como uma família,C
70,70,Bailey passou muito tempo com seus amigos na casa de praia naquele verão.,O que Bailey precisa fazer antes disso?,Beba cervejas,Compre uma casa de praia,Ir para a praia,C
71,71,"Remy era a vaca favorita de Kai, então quando ele morreu, Kai curtiu o couro de Remy.",Por que Kai fez isso?,Pensei que a pele ficaria bonita junto à lareira,Use a pele como um traje de Halloween no próximo mês de outubro,"ver se seria bom gosto, como carne jerky",A
72,72,Bailey tomou as coisas em suas mãos e conseguiu todo o lugar decorado para a festa.,Como Bailey se sentiria depois?,feliz em fazer o bolo olhar bonito,Fico feliz que a festa seja boa,satisfeito que o soco seria bom,B
73,73,"Skylar estava tentando pegar uma folha da cabeça de Jordan, então eles balançaram a cabeça de Jordan.",Como você descreveria o Skylar?,lpful,rude,Abusiva,B
74,74,Lee assassinou a pessoa que estava machucando Austin porque ele amava Austin com todo o seu coração.,Porque é que o Lee fez isto?,Cuidados com Austin,Odiado Austin,queria Austin para ser ferido,A
75,75,Alex agiu de acordo com o melhor interesse de Ash quando eles disseram ao professor o que aconteceu.,O que Alex precisa fazer antes disso?,Explicar o que aconteceu com Ash,fazer,Conheça o seu melhor interesse,A
76,76,A equipe precisava de um nome e eles perguntaram a Jesse desde que ele era o capitão.,O que a equipe vai querer fazer a seguir?,ganhar jogos!,perder jogos!,Faça um banner com sua imagem,A
77,77,Cameron fez notas perfeitas e fez a lista de diretores por causa disso.,Como Cameron se sentiria depois?,Sorte,inteligente,seria mal-concebido,B
78,78,"Mesmo que Kendall tivesse prometido ajudar, quando chegou a hora, Kendall deixou Jan alto e seco.",O que Jan vai querer fazer a seguir?,Passar mais tempo com eles,Evite Kendall completamente,indigno de confiança,B
79,79,"Lee visitou sua mãe ilegalmente, que era uma fugitiva da lei.",O que vai acontecer com Lee?,Torne-se um cúmplice,não se colocar nesse tipo de perigo,denunciar suas mães onde sobre a aplicação da lei,A
80,80,A Ash estava a criar os filhos sozinha e as pessoas pensaram que ela não estava bem.,O que Ash vai querer fazer a seguir?,era amoroso,Continue observando os pais,Faça o seu melhor,C
81,81,"Típico de cada quatro meses, Alex foi ao médico para um check-up de rotina e foi dito que ele precisa de descanso.",O que Alex vai querer fazer a seguir?,Chame o médico,Termine todos os seus projetos e adie o resto,Tire uma folga do trabalho,C
82,82,Sydney fez a conexão de Skylar e teve que falar com sua mãe.,Por que Sydney fez isso?,Levem-nos para fora.,Amado,Leve-os para comer,A
83,83,"Alex pegou Casey em seus braços, que era sua namorada de longa data e parceiro que acabou de se reunir.",Porque é que o Alex fez isto?,Saudades de Casey,dar a Casey um longo beijo,abraço Casey por um longo tempo,A
84,84,O Quinn puxou o carro por excesso de velocidade na estrada.,Como você descreveria Quinn?,lackadaisical,um executor,uncaring,B
85,85,Tracy estava começando um trabalho de pesquisa e emprestou uma tese para uso.,O que Tracy precisa fazer antes disso?,Ir para a aula,Ir para o campo de bola,Peça para usá-lo,C
86,86,A Robin pensou que a Taylor estava a gastar demasiado tempo no portátil.,O que Taylor vai querer fazer a seguir?,ser capaz de aproveitar o laptop,Dê o laptop para Robin,Ficar chateado com Robin,C
87,87,Austin correu direto para a loja depois de descobrir que o novo videogame havia sido lançado.,Por que Austin fez isso?,economizar dinheiro,Gastar seu dinheiro,jogar o novo jogo de vídeo,C
88,88,Kendall tinha alguns clientes que participaram da conferência. Sasha conheceu os clientes de Kendall na conferência.,O que vai acontecer com Sasha?,ser introduzido,ser demitido,ela vai encontrá-los,A
89,89,Quinn saiu do médico parecendo muito triste e deprimido. Sasha estava lá para buscá-lo.,O que vai acontecer com Sasha?,Pergunte-lhe sobre seus resultados,Grite com ele,errado,A
90,90,Casey fez seu almoço rapidamente quando chegou em casa do trabalho.,O que é que o Casey precisa de fazer antes disso?,Vá para a casa dela,Comer enquanto trabalha,Coma o almoço,A
91,91,"Sasha prometeu a Robert que ela traria sua lição de casa, mas ela esqueceu.",Como você descreveria Sasha?,como descuidada,como inteligente,shasha que prometeu robert,A
92,92,Bailey teve um grande projeto devido em sua aula de História Americana na escola e ela trabalhou muito duro nisso.,Como Bailey se sentiria depois?,Estudioso muito trabalhador,Como se tivesse esquecido de uma tarefa importante,Como se tivesse realizado algo importante,C
93,93,Robin gerenciou sua equipe no trabalho bem e completou todas as tarefas a tempo.,O que Robin precisa fazer antes disso?,Seja recompensado a seguir,estar no comando,Iniciar um negócio,B
94,94,"Depois de pensar em convidar Becky por semanas, Austin finalmente aumentou a coragem e eles se tornaram um casal até o final da semana.",Como Austin se sentiria depois?,envergonhada e triste,Alguém que pode superar seus medos,Felizes por terem tido uma oportunidade,C
95,95,Sydney deu Ash um pouco de conselhos sobre a pesca fora da ponte.,Como Ash se sentiria como resultado?,muito irritado,Muito informado,Conhecimento sobre pesca,C
96,96,Robin era um profissional em comer comida chinesa e ensinou-lhes a usar pauzinhos.,O que os outros vão querer fazer a seguir?,aprender rapidamente,como comida chinesa,cuspir comida,A
97,97,"Ash levou seu laptop para ser reparado, mas a loja não podia fazer nada sobre isso.",Como Ash se sentiria depois?,Desculpa.,frustrado depois,inútil depois,B
98,98,"Para surpresa de todos os amigos, quando lhe pediram para falar, Quinn falava japonês fluentemente.",Porque é que o Quinn fez isto?,Parece que ela era japonesa.,Seja um Showoff,Surpreenda seus amigos,C
99,99,Skylar comprou o almoço no outro dia para seu amigo em seu restaurante favorito.,Como você descreveria o Skylar?,Que bom.,amigável,Como falante,A
100,100,Jesse tirou o casaco de Sasha porque estava ficando muito quente no quarto.,Porque é que o Jesse fez isto?,Fale com Jesse,entediada,ptimo.,C
101,101,Quinn largou a folha do livro de Sydney que ela estava usando como marcador de livro.,O que Quinn vai querer fazer a seguir?,Jogue a folha fora,Coloque-o de volta no livro,Obter uma nova folha,B
102,102,Lee colocou a mão nos lábios de Skylar porque Lee queria que Skylar parasse de falar imediatamente.,Como o Skylar se sentiria como resultado?,Apoiado por Lee,Insultado por Lee,Alguém que faz o que quiser,B
103,103,Sasha mandou Taylor para casa depois que eles se queixaram de estar doente no trabalho.,Como Taylor se sentiria como resultado?,Como ir para casa,doente,Como um mentiroso,B
104,104,Tracy visitou a mãe de Cameron em casa para os idosos e trouxe-lhes alguns lanches.,Porque é que a Tracy fez isto?,comer,Certifique-se de que a mãe de Cameron não estava sozinha,falar,B
105,105,A Casey levou-a para todo o lado com a Robin porque não queria perdê-la.,Porque é que o Casey fez isto?,Ela cuidou disso,ela não queria,Ela queria perdê-la,A
106,106,Cameron chegou em casa e descobriu que ninguém estava dentro da casa.,O que Cameron vai querer fazer a seguir?,Entre na casa,Roubar da casa,Roubar a casa,A
107,107,Sasha conheceu os clientes do Kendall na conferência e roubou os seus negócios.,O que acontecerá com Kendall quando isso acontecer?,aumentar sua equipe para assumir o novo negócio,encontrar-se com seus clientes para atender às suas necessidades,perder clientes,C
108,108,"O lugar estava lotado demais para se sentar, então Tracy encontrou outro lugar para ir.",O que Tracy vai querer fazer a seguir?,ir para o trabalho,ir para casa,Encontre um lugar para sentar,C
109,109,"Austin segurou a fita com segurança no lugar, enquanto o pai fez uma medição da sala.",O que Austin vai querer fazer a seguir?,Apague seu pai com o quarto,Deixe seu pai trabalhar sozinho,snap fechado,A
110,110,Kai notou que todos foram convidados para a festa e queriam vir também.,Como está o Kai?,deixado de fora,indesejados,Sentindo-se curioso para ir,A
111,111,Quinn superou todos os obstáculos em sua carreira universitária.,Como Quinn se sentiria depois?,inteligente,muito preguiçoso,Como um sucesso,C
112,112,O Lee acabou de sair da prisão por agredir o Kai.,Como Kai se sentiria como resultado?,Feliz por ele,aterrorizado com ele,Orgulhoso dele,B
113,113,"Jesse tinha muitos talentos, mas ele se recusou a trabalhar em qualquer emprego.",Porque é que o Jesse fez isto?,Ensinar aos outros seus talentos,Sair do sistema,Encontre um emprego que ele goste,B
114,114,Addison comprou os ingressos a um preço alto logo antes do show começar e correu para dentro.,O que é que a Addison precisa de fazer antes disso?,Peça a Becky para manter seu lugar na fila,Ganhe ingressos grátis para o show na próxima semana,Adquira ingressos rapidamente antes que eles se esgotassem,C
115,115,Cameron conheceu o marido de Kendall que tinha todas as qualidades que Cameron estava procurando em um homem.,Como Cameron se sentiria depois?,Feliz por Kendall,saudade,zangada com Kendall,B
116,116,"Tracy sempre foi o tipo que gostava de festa, ela estava animada que era seu aniversário, e convidou as pessoas para sua casa.",Porque é que a Tracy fez isto?,Adorei a cena da festa,socializar,Não era a garota da festa,B
117,117,Bailey usou suas mãos para comunicar às pessoas sobre seus resultados no teste.,Como você descreveria Bailey?,Sentindo-se amado,empolgada com o grau de aprovação,Sentindo-se entediado,B
118,118,Lee esteve fora na faculdade nos últimos 6 meses sem ser capaz de tirar férias. Lee finnally tem um fim de semana fora da escola e do trabalho. Lee decidiu visitar sua mãe.,Porque é que o Lee fez isto?,Leve-a para o jantar,ajudá-la ao redor da casa com reparos de melhoria de casa,ver a família,C
119,119,"CArson não estava em casa e Tracy estava entediado, então Tracy colocou o quebra-cabeça de Carson juntos.",Como Tracy se sentiria depois?,Orgulhoso,Assustado,Chocado,A
120,120,"Devido ao seu amor pelo animal, Ash impediu seu cão de se mover.",Como você descreveria Ash?,Adora evitar que os cães se movam,triste,Mantenha seu pet,C
121,121,Cameron inclinou a cabeça com vergonha depois de perder a partida por muito.,O que Cameron vai querer fazer a seguir?,entediada,perder o jogo,Orgulha-te,C
122,122,Austin ajudou outro companheiro de equipe porque o cara precisava da ajuda.,Como os outros se sentiriam como resultado?,Maravilhoso,invejoso,Negligenciado,B
123,123,Ryley não sabia que seus cortes os haviam atraído para fora.,Como você descreveria Riley?,Feliz,Como uma pessoa arrependida,Chocado,C
124,124,Sydney foi acampar com um bom amigo deles e se divertiu.,O que Sydney vai querer fazer a seguir?,Reparar uma janela,Dormir em uma tenda,Compre um celular,B
125,125,"A mãe de Tracy Cameron estava no hospital, então um dia ela visitou.",Como Tracy se sentiria depois?,atencioso,Sentiu-se triste ao vê-la em mau estado,Sentiu-se feliz por ter sido hospitalizada,B
126,126,Austin ajudou outra família quando eles estavam em necessidade.,O que Austin precisa fazer antes disso?,Verifique a família,Aproxime-se da família,Faça um plano,A
127,127,Quinn falava espanhol fluentemente e se comunicava em nome daqueles que não falavam.,Como você descreveria Quinn?,feliz,realizado,Ajudar mais a seguir,B
128,128,"Quando Remy disse a Sasha que eles estariam se mudando para outro país, Sasha sentiu como se Remy tivesse virado sua vida de cabeça para baixo.",O que vai acontecer com Remy?,Ressentir-se da atitude de Sasha,Miss Remy,tentar fazer Sasha animado sobre o movimento,C
129,129,O rosto de Aubrey ficou vermelho depois que eles engasgaram em um pedaço da galinha.,O que Aubrey vai querer fazer a seguir?,Diga ao garçom para trazer o cheque,Faça a manobra por conta própria,fazer o hokey pokey e virar-se,B
130,130,Addison ligou para o banco no dia seguinte para descobrir o que aconteceu com o depósito.,O que Addison vai querer fazer a seguir?,Ir para o banco em pessoa,Reclamar ao banco,obter o dinheiro,C
131,131,Lee deixou o carro de Taylor na oficina durante a noite para que pudesse ser reparado.,O que Lee vai querer fazer a seguir?,Faça um favor a Taylor,Pegar o carro pela manhã,Devolver o carro para Taylor,B
132,132,"Riley trabalhou duro para fazer um bolo para a festa de trabalho mais tarde hoje, ele sabe que todo mundo gosta de bolo no escritório.",Como os outros se sentiriam como resultado?,Os outros ficarão entediados com a ideia,pensativo,feliz,C
133,133,O aniversário de Aubrey estava se aproximando e Cameron decidiu surpreendê-los.,O que Aubrey vai querer fazer a seguir?,abraço Cameron,Cuspir em Cameron,Planeje uma festa,C
134,134,Ash agradeceu profusamente ao pai de Aubrey por toda a ajuda e orientação que ele havia fornecido.,Como você descreveria Ash?,Desapreciativo,Apreciativo,Obrigado por toda a ajuda e orientação que o pai de Aubrey deu.,B
135,135,As pessoas convidaram Kai porque ele seria divertido em uma festa devido à sua energia.,Como os outros se sentiriam como resultado?,que eles se divertiram,Arrependendo-se de convidar Kai,que eles estavam entediados,A
136,136,Jordan começou uma banda com seus amigos e se divertiu fazendo músicas.,Como você descreveria a Jordânia?,sentir-se preguiçoso,Como se o tempo fosse bem gasto,Sentindo-se orgulhoso,C
137,137,Bailey voltou por segundos no jantar porque a comida era boa.,O que Bailey precisa fazer antes disso?,Comeu alguns,Pediu-se para alguns,Falar sobre comida,A
138,138,"Todas as sextas-feiras, o Marcus Theatres tem preços de admissão especiais para qualquer pessoa com 60 anos ou mais. Venha desfrutar de um filme em qualquer Marcus Theatres com o nosso especial Young at Heart - apenas US $ 6,00 para qualquer show que comece antes das 17:30. Taxas adicionais se aplicam para recursos 3D.",O que é que a Addison precisa de fazer antes disso?,Descontos de 5 terças-feiras também se estendem a concessões! Os membros da AMC Stubs também podem obter lestes baratos com um Cameo Combo de US $ 5 (bebida de fonte e pipoca do tamanho de um cameo),"em qualquer teatro AMC ou AMC CLASSIC, ou um Flatbread de US $ 10 nos teatros participantes do AMC DINE-INTM.... O desconto de US $ 5 de terça-feira se aplica apenas aos horários de exibição às terças-feiras","Crianças com menos de 6 anos não são permitidas em um filme com classificação ""R""",A
139,139,"Jesse estava realmente esperando para escrever livros, mas ainda não tinha feito isso, então Jesse publicou artigos em revistas.",Como você descreveria Jesse?,habilidosa,Orientação para objectivos,Preguiçosa,B
140,140,Tracy incluiu outra dica para que ele soubesse o que comprar.,O que Tracy vai querer fazer a seguir?,Mencione a primeira dica,Ignorá-lo,Mostre-lhe o que comprar,A
141,141,Aubrey pegou algum dinheiro de seus pais e comprou um almoço com ele.,Como você descreveria Aubrey?,E-mail,egoísta,honesto,B
142,142,"O Lee não estava focado na tarefa, o Quin chamou a atenção do Lee.",Porque é que o Quinn fez isto?,Fale com Lee,Ajude a distrair Lee,obter Lee na tarefa,C
143,143,Robined determinou que sua fortuna era fazer o seu melhor.,Porque é que a Robin fez isto?,Orgulha-te,decidir como fazê-lo,Sorte,B
144,144,"Robin deu doces às crianças, mas não foi do tipo bom.",O que as crianças vão querer fazer a seguir?,Bater Robin,Ir para outra casa,convencer as crianças a aceitar o doce,B
145,145,"Carson sempre foi conhecido por ser um mentiroso, ele nunca diz a verdade.",O que os outros vão querer fazer a seguir?,Seja esperançoso para a mudança de Carson,Ignorar Carson,Contar mentiras,B
146,146,Kai pintou a cidade de vermelho naquele dia e se divertiu muito.,O que Kai precisa fazer antes disso?,Pergunte sobre diversão,divirta-se,Viver na cidade,C
147,147,Quinn poderia saltar muito alto e facilmente conseguiu um slam dunk.,Como os outros se sentiriam como resultado?,como realizado,Incomodado com Quinn,Entretido por Quinn,C
148,148,"Addison tinha um segredo para guardar, mas contou ao meu amigo.",Como você descreveria Addison?,ptimo.,tipo,irritante,C
149,149,O Alex colocou o peixe que apanharam na boca do Jan.,Como Jan se sentiria como resultado?,Como comer sushi,Como dar um soco em Alex,Felizes com Alex,B
150,150,Casey mastigou o filhote porque eles achavam que eram uma vaca.,Como Casey se sentiria depois?,Como agir como um ser humano,Como beber de uma calha,um comedor de carne,C
151,151,"Carson não era bom em se expressar, então ele encontrou um livro para descrever melhor seus sentimentos.",Como você descreveria Carson?,como esperançoso,como deprimido,mais calmo,A
152,152,Lee voou em direção a Robin por causa das grandes notícias sobre o circo chegando à cidade.,Como Robin se sentiria como resultado?,ecstatic,Querendo dizer,entediada,A
153,153,Alex é dono de uma loja e observou a contribuição de cada pessoa com cuidado. Alex recompensou cada pessoa de acordo.,Porque é que o Alex fez isto?,Contribuir para a comunidade local,Feche sua loja em breve,recompensar mais por pessoas mais merecedoras,C
