,Unnamed: 0,context,question,answerA,answerB,answerC,correct
32,32,O adison caminhou até a sala e lamentava ficar em terra durante um mês.,Como senti-lo-ia depois?,vergonha de se auto-induzir a sofrer,como se deslumbrar a porta de seu quarto,como a rebelião contra a autoridade,A
33,33,Carson finalmente voltou do parque naquele dia.,Como senti-lo-ia depois?,como ela tinha divertido,exaustão,sí,A
34,34,"Addison chamou os outros no dia seguinte, após faltar ao seu contato inicialmente.",O que vai acontecer com os outros?,Pegue o fone,não querer responder,Pergunte a quem Addison é,A
35,35,"Bailey estava jogando no oceano na praia, mas Bailey começou a afundar.",O que queremos por Bailey?,ignorar a salvaguarda,parar de tentar nadar,Aguarde,C
36,36,"Jesse comprou um novo Ford Mustang, a sua maneira de casa ele jogou pela cidade,",O que fez Jesse?,nervosismo,compra de um novo carro,vendeu a sua antiga estação de pavilhão,B
37,37,"Riley viu Cameron sair da escola, embora a escola estivesse na sessão.",O que queremos por Cameron?,ir ao mall,Case after Cameron,contacte o professor,A
38,38,"Tracy quer fazer uma noite de jantar especial, então eles compraram hoje.",Por que o Tracy fez isso?,compra de ingredientes para o jantar,compra de roupa nova para uma data,Coloque os alimentos,A
39,39,Jordan parecia uma nova pessoa após perder muito peso.,O que o Jordânia precisa fazer antes disso?,exercício físico,coma muitos alimentos,parar de comer,A
40,40,Casey trouxe a verdade para esclarecer sobre onde se deu a noite passada.,Como se sentiria Casey depois?,como uma pedra,honest,tonturas,B
41,41,Sasha batia a irmã com facilidade desde os 10 anos de idade.,O que acontecerá com Sasha?,ficar melhor que a irmã,mantenha bater a irmã,obter confiança,B
42,42,Tracy conversava o telefone toda noite com Beth e ficava tarde.,Por que o Tracy fez isso?,rebeldia contra o tempo de cama dos pais,jogos de videogame no novo telefone,manter a diversão com Beth no fone,C
43,43,Taylor adoeceu na terça-feira e não conseguiu realizar a brincadeira.,O que queremos por Taylor?,Agradecer por ajuda para o parto,Agradecer a Jenna por os ajudar a sair,por serem felizes não conseguiram ir,B
44,44,"Aubrey viu todos os que caminharam em sua loja naquele dia, mas o homem que",O que queremos com Aubrey?,tentar encontrar o homem,chama a atenção da polícia,enviar um e-mail para a co-trabalhadora,A
45,45,Casey encontrou uma amiga para brincar enquanto estava em férias escolares.,O que queremos com Casey?,ignorar o amigo,reunir o amigo,permanência em casa,B
46,46,Aubrey foi à loja para conseguir algum banho de xaqueca pela manhã.,O que queremos com Aubrey?,compra de um frango de peito,despedimento,obter um bom resultado,C
47,47,Sydney saiu de Jesse após um tempo e retornou para comer alimentos.,Como Jesse sentiria como resultado?,Muito adorada,Muito isoladamente,alguém que se atente à rotina,B
48,48,Remy queria ajudar pessoas que eram menos sorteadas que eles.,O que queremos?,recusar ajuda,efectuados no mesmo local,ser útil,B
49,49,Casey se recusou a ir à dança por parte de Addison na sexta-feira.,O que é necessário para Addison?,risos para sair dela,● ● ● ● ● ● ● ● ● ,chorar para conseguir o seu caminho,B
50,50,Bailey ajudou Taylor a se deslocar para o seu novo apartamento na cidade.,Por que Bailey fez isso?,começam a procurar um emprego,,decorar o apartamento,B
51,51,Jesse chamou imediatamente a atenção de outros trabalhadores quando uma máquina caiu a pé.,Como os outros trabalhadores se sentiriam como resultado?,Preocupação com Jesse,Felicidade por Jesse,como,A
52,52,Addison tortou o braço de Casey para sair para uma bebida após o trabalho.,O que acontecerá com Casey?,bebida em casa,gozo sair,ir para a sobremesa,B
53,53,"Ash perdeu o trabalho por estar doente, mas não se incomodava em colocar um telefone dizendo que",Como descreveria Ash?,uma pessoa considerada,um trabalhador pobre,remorse sobre o inconveniente de seu chefe,B
54,54,Austin passou sua leitura por não ter nada de mais.,O que queremos por Austin?,estudo,sono,Comida,B
55,55,Remy foi um desenvolvedor de web em uma empresa de consultoria bem respeitada.,O que é necessário fazer por Remy antes disso?,Ir para o colégio,Esgotamento no ensino médio,quis ser bem sucedido,A
56,56,Lee vendeu uma TV em Craigslist por um grande preço.,O que queremos?,fazer um pouco de dinheiro para ver Lady Gaga,faço dinheiro para ajudar a família,compra a TV,C
57,57,"Depois de lutar com o jogo por vários meses, Taylor o bateu.",O que queremos por Taylor?,recomeçar o nível,tentar novamente bati- lo,iniciamos um novo jogo,C
58,58,Tracy recusou-se a reciclar e a poupar energia para ajudar a proteger a Terra,Como descreveria Tracy?,importante para mudança de hábitos,án,culpa,C
59,59,"Remy pegou o laptop em todos os lugares, mas acabou esquecendo de um ônibus",O que é necessário fazer por Remy antes disso?,riz,leve o laptop para a cozinha,estudo,A
60,60,Remy deu mais dinheiro para a caridade depois de receberem a sua verba.,O que queremos?,Apoio à caridade,ser uma pessoa útil,doar todo o seu dinheiro,A
61,61,"O encontro era o mais difícil, mas Sasha batia o registro com facilidade.",O que acontecerá com Sasha?,ser concedido,ic,Perder a trófise,A
62,62,"Riley salvou muito tempo o trabalho de suas pessoas, implementando uma nova solução de software.",Como se sentiria Riley depois?,intelligent,ineficácia,incompetente,A
63,63,"Quinn pediu um emprego numa nova empresa, Quinn esperava que o recebesse.",O que é que Quinn precisa fazer antes disso?,chame a empresa e ideie a eles,"aguardar e, no entanto, e-mail outras empresas",encontrar o novo trabalho que ele quis obter,C
64,64,Alex atuou na raiva de Ash e esbarram na delicada bowl de china,Como se sentiria Alex depois?,dói ainda com Ash,forte e empoderado,lamentável eles quebraram o escore,C
65,65,"Alex passa a cantar algumas vezes com a aula, e leva tempo para praticar com eles de forma",O que queremos com Alex?,dar-lhes um teste na canção,fazer com que eles pratiquem uma nova canção,têm aprendido uma nova canção,A
66,66,Kendall continha o número de Sasha em seu fone e nunca o eliminou após conseguir,O que acontecerá com Sasha?,ser conhecido,ser famoso,ser refrescado,A
67,67,Houve um movimento de mulher para levar a legislação aos tribunais.,O que é necessário para o Aubrey?,quer mudança,Adesão ao movimento,ingressante no exército,B
68,68,Taylor foi à igreja e contou ao padre que precisava ser perdoado pelos pecados.,O que é necessário para Taylor diante disso?,Recorrida,encontrar uma chuech,ser rude,B
69,69,Bailey passou o tempo na casa de Alex todas as chances que eles puderam obter.,O que acontecerá com Alex?,necessário,ficar próximo de Alex,tornar-se familiar,C
70,70,Bailey passou muito tempo junto com seus amigos na casa de praia no verão.,O que é necessário para Bailey antes disso?,Bebidas,compra de uma casa de praia,ir à praia,C
71,71,"Remy era a vaca preferida do Kai, assim quando morreu, Kai curtia a capa de",Por que o Kai fez isso?,pensamos que a oculta seria agradável pela arma de fogo,usar a capa como traje deHalloween em outubro seguinte,"ver se ela teria bom sabor, como a carne bovina",A
72,72,Bailey levou as coisas para as mãos e mandou o lugar inteiro decorado para o partido.,Como Bailey se sentiria depois?,feliz por tornar o bolo bonito,satisfeito com o facto de o partido ser bom,satisfeito com o fato de o punch ser bom,B
73,73,Skylar tentava obter uma folha da cabeça da Jordânia para que eles saíssessem a cabeça,Como descreveria o Skylar?,ad,rude,Agressivo,B
74,74,Lee Mordeu a pessoa que estava machucando Austin porque adorava Austin com todo o coração.,Por que Lee fez isso?,assistido por Austin,Hated Austin,Quer Austin to be hurt,A
75,75,Alex atuou no melhor interesse de Ash quando contaram ao professor o que aconteceu.,O que é necessário para Alex antes disso?,explicam o que aconteceu com Ash,fazendo,conhecer o seu melhor interesse,A
76,76,"A equipe necessitou de nome e perguntaram Jesse, pois era o capitão.",O que a equipe quer fazer a seguir?,ganhar jogos!,perder jogos!,faça um banner com a sua imagem,A
77,77,Cameron fez os graus perfeitos e fez a lista de principais por causa dele.,Como se sentiria Cameron depois?,sorte,intelligent,seria mal-concebido,B
78,78,"Embora Kendall tenha se provido a ajudar, quando o tempo chegou, Kendall",O que queremos Jan?,gastar mais tempo com eles,Evite Kendall,infiscabilidade,B
79,79,Lee visitou ilegalmente sua mãe que estava presa na corrida da lei.,O que acontecerá com Lee?,tornar-se cúmplice,Não se coloquem nesse tipo de perigo,relatam as mães em que os actos de lei foram aplicados,A
80,80,"Ash estava criando seus filhos sozinhos e as pessoas achavam que não estava fazendo bem, era",O que queremos por Ash?,foi amar,manter os pais,fazer o melhor,C
81,81,"Tipicamente de quatro em quatro meses, Alex procurou o médico para uma checagem de rotina",O que queremos com Alex?,consulte o médico,Finalizar todos os seus projetos e adiar o descanso,Retire o tempo de trabalho,C
82,82,Sydney fez o vínculo de Skylar e chegou a conversar com a mãe.,Por que o Sydney?,Retire- as,amado,Tome- as para comer,A
83,83,Alex tomou Casey em seus braços que era a namorada e o companheiro de longa duração que acabou,Por que o Alex fez isso?,Falta de Casey,Dar a Casey um kiss longo,Abra Casey há muito tempo,A
84,84,Quinn arrastou o carro para a velocidade na estrada.,Como descreveria Quinn?,laqueado,Um executador,,B
85,85,Tracy estava iniciando um trabalho de pesquisa e emprestado uma tese para sua utilização.,O que é necessário para Tracy antes disso?,ir às aulas,ir ao campo de bola,Peça utilizá- lo,C
86,86,"Robin achou que Taylor estava gastando muito tempo no seu laptop, Robin tomou o la",O que queremos por Taylor?,ser capaz de apreender o laptop,Dá o laptop a Robin,fico irritado em Robin,C
87,87,Austin correu bem para a loja após descobrir o novo jogo de vídeo.,Por que o Austin?,poupança de dinheiro,despender o dinheiro,jogar o novo vídeo game,C
88,88,"Kendall teve alguns clientes que participaram da conferência, Sasha conheceu os clientes da conferência.",O que acontecerá com Sasha?,au,ser rejeitado,ela irá atender a eles,A
89,89,"Quinn saiu do médico com um olhar muito triste e deprimido, Sasha foi lá pegar",O que acontecerá com Sasha?,pergunte-lhe sobre os seus resultados,cheiro a ele,erro,A
90,90,Casey fez o almoço rápido quando chegou a casa de trabalho.,O que é necessário para o Casey antes disso?,ir para casa dela,comer durante o trabalho,comer o almoço,A
91,91,"sasha prometeu robert que traria sua casa, mas a esqueceu.",Como descreveria Sasha?,como descaso,como smart,shasha que tem promissado robert,A
92,92,Bailey teve um projeto importante devido à sua aula de História Americana na escola e trabalhou muito duro nela,Como Bailey se sentiria depois?,studiosos,como ela já havia esquecido uma tarefa importante,como ela conseguiu algo importante,C
93,93,Robin conseguiu gerenciar bem a equipe de trabalho e cumpriu todas as tarefas no tempo.,O que é necessário para Robin antes disso?,ser recompensado em seguida,ser responsável,iniciação de uma actividade,B
94,94,"Depois de pensar em solicitar Becky para semanas, Austin acabou trabalhando a coragem e se tornaram",Como se sentiria Austin depois?,vergonha e tristeza,alguém que possa superar seus medos,felizes eles tiveram uma chance,C
95,95,Sydney deu um pouco de conselho sobre a pesca da ponte.,Como seria que Ash sentisse como resultado?,Muito raiva,Muito,conhecimentos sobre a pesca,C
96,96,Robin era um protagonismo na ingestão de alimentos chineses e lhes ensinava como usar,O que queremos?,Aprenda rapidamente,como os alimentos chineses,Apesar de fora,A
97,97,"Ash levou o seu laptop para ser reparado, mas a loja não conseguiu fazer",Como se sentiria Ash depois?,< < < < < < < < < ,frustradas após,após a administração,B
98,98,A todas as surpresas de seus amigos quando pediram para falar Quinn falavam fluentemente,Por que Quinn?,parece que ela era japonesa,ser um teste,surpresa seus amigos,C
99,99,Skylar comprou o almoço no outro dia para o seu amigo no restaurante preferido.,Como descreveria o Skylar?,Como legal,amigos,Como falante,A
100,100,"Jesse retirou o jaleco de Sasha, pois estava aquecendo muito a sala.",Por que Jesse fez isso?,conversar com Jesse,prurido,boa,C
101,101,Quinn retirou a folha do livro de Sydney que estava usando como marcador de livro.,O que queremos Quinn?,apagar a folha,volte a colocar no livro,obter uma nova folha,B
102,102,"Lee colocou a mão nos lábios de Skylar, pois Lee queria que o Skylar",Como o Skylar sentiria como resultado?,apoiado por Lee,insultado por Lee,alguém que faz como prazer,B
103,103,Sasha enviou para casa Taylor após queixa de estar doente no trabalho.,Como seria que Taylor sentisse como resultado?,como ir para casa,doentes,como uma pedra,B
104,104,Tracy visitou a mãe de Cameron em casa para os idosos e trouxe alguns lanches.,Por que o Tracy fez isso?,Comida,garantir que a mãe de Cameron não estava sozinha,fale,B
105,105,Casey levou tudo com Robin porque não queria perder.,Por que o Casey?,ela cuidava dela,ela não quis isso.,quis perder a,A
106,106,Cameron chegou a casa e constatou que nenhum estava dentro da casa.,O que queremos por Cameron?,entrar em casa,furto de casa,roubos na casa,A
107,107,Sasha conheceu os clientes do Kendall na conferência e roubou seus negócios.,O que acontecerá com Kendall quando isso acontecer?,aumentar o seu pessoal para assumir as novas actividades,atender com seus clientes para atender suas necessidades,Perda de clientes,C
108,108,"O local estava muito lotado para sentar, então Tracy encontrou outro local para ir.",O que queremos agora por Tracy?,ir trabalhar,ir para casa,encontrar um local para sentar,C
109,109,Austin seguramente mantinha a fita no local enquanto dad fazia uma medida da sala.,O que queremos por Austin?,o dp de seu pai com a sala,Deixe o pai dele trabalhar sozinho,snap fechado,A
110,110,Kai observou que todos foram convidados para o partido e queriam vir.,Como está sentindo o Kai?,< < < < < < < < < ,indesejada,sentir- se curioso para ir,A
111,111,Quinn superou todos os obstáculos em sua carreira universitária.,Como se sentiria Quinn depois?,smart,Muito preguiça,como um sucesso,C
112,112,Lee saiu de prisão por agressão Kai. Lee viu Kai nesta tarde.,Como o Kai sentiria como resultado?,feliz por ele,aterrado de si,orgulha de ele,B
113,113,"Jesse tinha muitos talentos, mas se recusou a trabalhar qualquer trabalho.",Por que Jesse fez isso?,ensinar outros seus talentos,deslize do sistema,encontrar um emprego que ele gosta,B
114,114,Addison comprou os bilhetes a um preço alto logo antes do início e acelerou,O que é necessário para Addison?,Pedir a Becky que a mantenha na linha,receber bilhetes gratuitos para o programa na semana seguinte,chegue rapidamente aos bilhetes antes de vender,C
115,115,Cameron conheceu o marido de Kendall que tinha todas as qualidades que Cameron estava procurando em,Como se sentiria Cameron depois?,feliz com o Quênia,au,ânsia no Quénia,B
116,116,"Tracy foi sempre o tipo que gostava de festa, estava excitado que era o aniversário dele e",Por que o Tracy fez isso?,amava a cena de festa,socializar,não era a menina de festa,B
117,117,Bailey utilizou suas mãos para comunicar aos indivíduos sobre seus resultados no teste.,Como descreveria Bailey?,sentir- se amado,excitado com relação ao grau de aprovação,sensação de entorse,B
118,118,"Lee já esteve afastado na faculdade há 6 meses sem conseguir férias, Lee acabou desligando",Por que Lee fez isso?,leve-a ao jantar,ajudar a casa com reparos de melhoria do lar,ver a família,C
119,119,"CArson não estava em casa e Tracy estava equivocado, então Tracy colocou o",Como o Tracy se sentiria depois?,Orgulha,Corado,Choque,A
120,120,"Devido ao seu amor pelo animal, Ash impediu que seu cão se deslocasse.",Como descreveria Ash?,ama evitar a circulação de cães,triste,manter o seu animal de estimação,C
121,121,Cameron desdobrou a cabeça em vergonha depois de perder o jogo por muito.,O que queremos por Cameron?,prurido,Perder o jogo,orgulha,C
122,122,Austin ajudou outro companheiro de equipe porque o cara necessitou de ajuda.,Como os outros se sentiriam como resultado?,Aspectos,envious,negligenciada,B
123,123,Ryley desconhece que seus cortes os iscaram.,Como descreveria Riley?,Happy,como uma pessoa triste,Choque,C
124,124,Sydney foi acampar com um bom amigo e tinha diversão.,O que queremos em seguida por Sydney?,riz án án án án án án án án ,sono em tent,compra de um celular,B
125,125,"Tracy mãe de Cameron estava no hospital, então um dia ela visitou.",Como o Tracy se sentiria depois?,Considerações,sentir-se triste para ver-lhe em má forma,sentiu-se feliz ela foi internada,B
126,126,Austin ajudou outra família quando precisava.,O que é necessário para Austin antes disso?,check up na família,chegue perto da família,elaborar um plano,A
127,127,Quinn falava fluentemente e comunicava-se em nome dos que não falavam.,Como descreveria Quinn?,feliz,realizado,Ajudar mais à frente,B
128,128,"Quando Remy contou a Sasha que estaria se deslocando para outro país, Sasha sentiu",O que vai acontecer com a Remy?,Referente à atitude de Sasha,Falta de,tentar e fazer com que Sasha se estimule sobre o movimento,C
129,129,A face de Aubrey virou vermelho após engasgar em uma peça de frango,O que queremos com Aubrey?,contacte o aguardente para trazer a verificação,faça a manobra em si,faço a chave-cabeça e rodeia,B
130,130,Addison chamou o banco no dia seguinte para descobrir o que aconteceu com o depósito.,O que queremos com Addison?,ir ao banco pessoalmente,reclamação ao banco,obter o dinheiro,C
131,131,Lee deixou o carro de Taylor na loja de reparação durante a noite para que pudesse ser repara,O que queremos Lee?,do Taylor a favor,Pegue o carro de manhã,devolver o carro a Taylor,B
132,132,"Riley trabalhou muito para fazer uma torta para o partido de trabalho mais tarde, sabe que",Como os outros se sentiriam como resultado?,Os demais serão equivocados pela ideia,ideação,feliz,C
133,133,O aniversário de Aubrey estava se aproximando e Cameron decidiu surpriseá-los,O que queremos com Aubrey?,Agrade Cameron,Apesar de em Cameron,Planear uma parte,C
134,134,Ash agradeceu profusamente o pai de Aubrey por toda a ajuda e orientação que,Como descreveria Ash?,pouco apreciativo,apreciação,Agradecimentos por toda a ajuda e orientação do pai de Aubrey,B
135,135,As pessoas convidaram o Kai porque ele seria divertido em uma festa devido à sua energia.,Como os outros se sentiriam como resultado?,que eles tinham uma brincadeira,arrependido de convidar Kai,que eles eram equivocados,A
136,136,Jordan iniciou uma banda com seus amigos e teve um bom tempo fazendo canções.,Como descreveria a Jordânia?,sentir- se preguiça,como o tempo foi bem gasto,sentir- se orgulhado,C
137,137,"Bailey voltou a voltar a comer por dois jantares, pois a comida era boa.",O que é necessário para Bailey antes disso?,ingestão de alguns,de pedidos de informações,fala sobre alimentos,A
138,138,A cada 6h os estúdios Marcus Theatres® têm preços de internação especiais para qualquer pessoa,O que é necessário para Addison?,5 Os descontos de terças-feiras também se estendem às concessões! Os membros,"a qualquer teatro AMC ou AMC CLASSIC®, ou um fasc","Nenhuma criança 6 e menos é permitida em um filme ""R""",A
139,139,"Jesse esperava realmente escrever livros, mas ainda não o fez, então Jesse publicou artigos em revistas.",Como descrever Jesse?,Competência,Objectivos,Preguiça,B
140,140,Tracy incluiu outra pista para saber o que comprar.,O que queremos agora por Tracy?,mencionar a primeira pista,ignorar o,mostro-lo o que comprar,A
141,141,Aubrey tirou algum dinheiro dos pais e comprou um almoço com ele.,Como descreveria Aubrey?,completo,esclerite,honest,B
142,142,"Lee não se concentrou na tarefa, Quin chamou a atenção de Lee.",Por que Quinn?,conversar com Lee,distract Lee,Executar Lee na tarefa,C
143,143,Robined determinou que sua fortuna era fazer o melhor.,Por que Robin fez isso?,orgulha,decidir como fazê- lo,sorte,B
144,144,"Robin deu o doce para as crianças, mas não foi o bom.",O que as crianças querem fazer a seguir?,atingido Robin,ir para outra casa,Convince the children to acept the candy,B
145,145,"Carson sempre foi conhecido por ser um líar, nunca conta a verdade.",O que queremos?,ser esperado para a mudança de Carson,Ignore Carson,riz,B
146,146,Kai pintou a cidade vermelha naquele dia e tinha muita diversão.,O que o Kai precisa fazer antes disso?,Pergunte sobre a diversão,Afecções oculares,residentes na cidade,C
147,147,Quinn poderia saltar muito alto e facilmente pegar um monte de slam.,Como os outros se sentiriam como resultado?,como realizado,irritado por Quinn,", p. 1 , p. 1 , p. 1 , p.",C
148,148,"o addison tinha um segredo para manter, mas contava meu amigo.",Como descreveria Addison?,nice,tipo,irritação,C
149,149,Alex colocou os peixes que só capturavam na boca de Jan.,Como se sentiria Jan?,como comer sushi,como punção Alex,feliz com Alex,B
150,150,Casey mastigou a cuba porque achavam ser uma vaca.,Como se sentiria Casey depois?,como a actuação semelhante a um ser humano,como beber de um vale,um comedouro de carne,C
151,151,"carson não foi ótimo ao se expressar, assim encontrou um livro para descrever melhor seus sentimentos.",Como descreveria Carson?,como esperado,como deprimido,calmer,A
152,152,"Lee voou em direção a Robin, devido à grande notícia sobre o circo vindo para a cidade",Como o Robin sentiria como resultado?,ectásico,querer contar,prurido,A
153,153,"Alex é proprietário de loja e observa cuidadosamente a contribuição de cada pessoa, e Alex premiava cada",Por que o Alex fez isso?,contribuir para a comunidade local,fechar a sua loja logo,recompensar mais por pessoas mais merecedoras,C
154,154,Cameron estava trabalhando em uma campanha e tentando eleger um candidato.,Por que Cameron fez isso?,pesquisar o candidato,quis parar os adversários,quis ser honesto,B
155,155,Casey era uma chef que preparava uma refeição para os clientes.,O que é necessário para o Casey antes disso?,estar em tv,ser perito,fazer bem o seu trabalho,B
156,156,Riley salvou todos os dólares na esperança de poupança para um pagamento de baixo para compra de uma,Por que o Riley fez isso?,"fez isso, ela teve um pagamento decrescente.",fez-se isso para comprar um novo carro,fez isso para pagar cartões de crédito,A
157,157,Cameron não olhou e quase colocou a mão no fogão quando Kendall arrastou a,O que acontecerá com Cameron?,não queimar,contactar Cameron para não fazer isso,ânimo em Cameron,A
158,158,Remy ajudou Sasha a virar a vida procurando-lhes uma boa oportunidade de trabalho.,O que queremos?,Ajuda Sasha,Agradecer a Remy pelo seu esforço,Preparar-se para os requisitos necessários para o novo emprego,A
159,159,Tracy ensinou Bailey a ser um grande amigo para os outros.,Por que o Tracy fez isso?,ser uma outcast,como um bom pai,ajustada em,B
160,160,Taylor afinava o violão de Sasha para que Sasha pudesse brincar com a multidão,O que é necessário para Taylor diante disso?,Apoio Sasha,Necessidade de ficar com raiva em Sasha,necessitou ser fã de violão,A
161,161,Austin lembrou o nome de Tracy após o encontro em uma festa de colégio aleatório.,O que é necessário para Austin antes disso?,conhecer Tracy na escola,ir a uma classe,Reunião Tracy na festa,C
162,162,Taylor melhorou após ter conseguido uma manicure.,Como descreveria Taylor?,Muito declividade,Cuidando de seu aparecimento,pretty,C
163,163,Robin conheceu Jan para jantar logo que voltou à cidade.,O que queremos Jan?,ir a um filme,escolha de um local para o jantar,fazer uma reserva de jantar,A
164,164,"O cão estava desabafando e apoiando a família em um canto, mas com uma",Por que o Kendall fez isso?,quis proteger a família,au,distrair o cão,A
165,165,"Jan e amigos se sentiram bonitos em novos vestidos, mas as crianças ainda se diverti",Como descreveria Jan?,de alta autoestima,um descoloração,triste,C
166,166,"jesse queria um novo trabalho, assim ele se aplicava a trabalhos em sua indústria.",Por que Jesse fez isso?,ter a pessoa que lhe é a mão de obra,aguardar um telefonema,manter a vida de sua velhice,A
167,167,"O cara estava sendo ruidoso durante o ensaio de brincadeira, Kai contou que ele tem que",O que o Kai quer fazer em seguida?,parar de tomar,prática de go,ir para casa,B
168,168,Riley pediu ajuda para a irmã de Cameron e Cameron disse que ambos iriam ajudar.,Como senti-lo-ia em consequência?,Desconhecimento do pedido,um bom amigo,indisponível para ajudar a,B
169,169,Cameron sumiu seus ombros e Jan quando perguntaram o que estavam fazendo.,O que queremos Jan?,ser falante,au,fale sobre o que estão fazendo,B
170,170,"Embora fossem colegas, Tracy sempre chefiava Ash.",O que vai acontecer com Ash?,Queixa de Tracy,náusea por ser bossa,Aprender com a mentoria de Tracy,A
171,171,Lee estava em um avião e ia visitar Robin. Lee voou em direção a Robin.,Como descreveria Lee?,ânimo por vir a ver Robin,án án án án án án án án án ,excitado a visitar Robin,C
172,172,O Kenall lidera todos os demais jogadores da equipe e eles decidiram abandonar.,O que acontecerá com os outros?,procurará uma outra equipa para se juntar,Pedir a Kendall para o trabalho de sua nova equipa,crítica,A
