,Unnamed: 0,context,question,answerA,answerB,answerC,correct
13,13,A Jordan tinha um teste para estudar amanhã.,Como descreveria o Jordan?,um estudante,inteligente,Um abandonador da faculdade,A
14,14,A Robin era amiga dele há anos e queria fazer algo especial para o aniversário dele.,O que vai querer fazer a seguir?,Reúna os amigos,Compre um cartão com uma nota curta dentro,Liga-lhe e deseja-lhe um feliz aniversário .,A
15,15,Jordan levou uma bola de futebol para fora para jogar com os amigos.,O que é que a Jordan precisa de fazer antes disto?,jogar futebol,comprar uma bola de futebol,Vai lá para fora.,B
16,16,Riley salvou o seu povo de um regime opressivo e instalou um novo líder.,O que acontecerá aos Outros?,tornar-se conselheiro,Fica zangado com o Riley.,ser salvo,C
17,17,"A Tracy era uma mãe protetora, por isso protegia os olhos do Aubrey.",O que vai acontecer ao Aubrey?,Esconde o Aubrey da visão chocante,Continuem a proteger o Aubrey da visão assustadora,Ele vai agradecer à Tracy .,C
18,18,"A Addison tentou com todas as suas forças, mas não conseguiram levantar a grande pedra da perna do pai.",O que é que a Addison vai querer fazer a seguir?,mantêm o pai calmo,Veja a pedra esmagar a perna dele,Chama a polícia.,C
19,19,A Kendall sentiu o nódulo dentro do Jesse e disse ao Jesse que precisavam de fazer um teste de cancro.,Como se sentiria a Kendall depois?,Preocupado que Jesse possa ter gás,Determinado a descobrir o que se passa com a Kendall.,Preocupado que Jesse possa ter cancro,C
20,20,Jesse ligou imediatamente para a escola para reclamar ao diretor.,O que a escola vai querer fazer a seguir?,Expulsem todos os estudantes.,Compre um telefone na loja.,Peça desculpa ao Jesse .,C
21,21,"A Robin fez o que queria com o posto de gelados, não foi tão divertido como esperava.",Como descreveria a Robin?,Busca de emoção,Fica mais tempo.,indiferente,A
22,22,Tracy balançou o pescoço rapidamente para ver o pássaro voar.,O que vai acontecer à Tracy?,Faça exercícios de pescoço,Veja um carro a passar,Veja o pássaro voando por cima de sua cabeça,C
23,23,O Casey veio à luz sobre o que tinha acontecido na escola.,O que é que o Casey precisa de fazer antes disto?,mentir aos outros,Sê honesto .,Investigue mais,C
24,24,"A Bailey gostava de cuidar da casa como trabalho paralelo, por isso, quando a amiga dela foi de férias, a Bailey assumiu a casa da Taylor.",O que vai acontecer com a Bailey?,forte,Cuidado com a casa do Taylor.,orgulhoso,B
25,25,"A Tracy precisava de falar com o Addison, por isso foi atrás dele.",O que vai acontecer com a Addison?,"- Não , não .",Ele vai virar-se,Ele vai ignorar a Tracy.,B
26,26,O Riley não quis saber porque queria atrasar.,Porque é que a Riley fez isto?,tomar uma decisão,compreender a situação,Sê simpático .,B
27,27,"O Quinn estava a falar com o seu parceiro, e ele despejou o coração.",Como se sentiriam os Outros?,- Desligado.,ignorado,melhor,C
28,28,A Quinn estava a pescar na baía com o pai e tirou o peixe da água.,Porque é que o Quinn fez isto?,Apanha o peixe.,Salvar o peixe de se afogar.,Coloque o peixe no gelo .,A
29,29,O Lee colocou os lábios sobre os lábios da Skylar durante o filme.,Porque é que o Lee fez isto?,Beija a Skylar .,beija-me de volta .,Ignora o filme.,A
30,30,A Bailey trabalha num spa que trabalha com o corpo das pessoas para as mimar.,O que vai acontecer à Skylar?,- Não .,desanimado,Pintar as unhas,C
31,31,Jesse publicou notas em jornais e apanhou a irmã a lê-las quando ela entrou.,O que vai acontecer ao Jesse?,violado,- Não .,Fica zangado.,B
32,32,A Addison foi ao quarto deles e lamentou ter sido castigada por um mês.,Como se sentiria a Addison depois?,Desculpem-se por si mesmos.,como bater a porta do quarto deles,como se se rebelasse contra a autoridade,A
33,33,O Carson finalmente voltou do parque naquele dia.,Como é que o Carson se sentiria depois?,Como se ela se estivesse a divertir .,exausto,Solitário,A
34,34,"Addison ligou para os outros no dia seguinte, depois de perder a chamada inicialmente.",O que acontecerá com os outros?,"- Não , não .",Não quero responder.,Quem é a Addison ?,A
35,35,"A Bailey estava a brincar no oceano na praia, mas a Bailey começou a afundar.",O que vai querer fazer a Bailey a seguir?,Ignora o salva-vidas.,Pára de tentar nadar.,sinalize um salva-vidas,C
36,36,"Jesse comprou um Ford Mustang novo, e a caminho de casa, passou pela cidade a correr o mais rápido que pôde, quase que recebeu uma multa.",O que fez o Jesse?,nervoso,Comprei um carro novo.,Vendeu a sua velha station wagon,B
37,37,"A Riley viu a Cameron sair da escola, mesmo que a escola estivesse em sessão.",O que é que a Cameron vai querer fazer a seguir?,Vai ao shopping,Perseguir o Cameron.,Diz ao professor.,A
38,38,"A Tracy quer fazer um jantar especial hoje, por isso foram às compras.",Porque é que a Tracy fez isto?,comprar ingredientes para o jantar,comprar roupas novas para um encontro,Guarda a comida .,A
39,39,A Jordan parecia uma pessoa nova depois de perder muito peso.,O que é que a Jordan precisa de fazer antes disto?,Exercício físico,comer muitos alimentos,Pára de comer.,A
40,40,O Casey revelou a verdade sobre onde foram ontem à noite.,Como é que o Casey se sentiria depois?,Como um mentiroso.,Honesto.,desanimado,B
41,41,Sasha bateu na irmã facilmente desde que ela era 10 anos mais velha.,O que vai acontecer com o Sasha?,Fica melhor que a irmã dela .,Continua a bater na irmã dela .,- Não .,B
42,42,A Tracy falou ao telefone a noite toda com a Beth e ficou acordada até tarde.,Porque é que a Tracy fez isto?,rebelde contra a hora de dormir dos pais,jogar jogos no novo aplicativo do telefone,Continua a divertir-te com a Beth ao telefone .,C
43,43,Taylor ficou doente na terça-feira e não pôde atuar na peça.,O que é que a Taylor vai querer fazer a seguir?,Obrigado Bailey pela ajuda .,Agradeço à Jenna por os ajudar.,Não podem ir.,B
44,44,"A Aubrey viu todas as pessoas que entraram na loja dela naquele dia, mas o homem que esqueceu os óculos ontem nunca apareceu.",O que é que o Aubrey vai querer fazer a seguir?,Tente encontrar o homem.,Chama a polícia.,Enviar um e-mail para o colega de trabalho,A
45,45,A Casey encontrou uma amiga para brincar enquanto estava de férias.,O que vai querer fazer o Casey a seguir?,Ignora o amigo.,Conheça o amigo,Fique em casa.,B
46,46,A Aubrey foi à loja buscar xampu para o duche de manhã.,O que é que o Aubrey vai querer fazer a seguir?,Compre um frango assado,Sair da casa,"- Não , não .",C
47,47,Sydney deixou Jesse depois de um tempo e voltou para casa para comer.,Como Jesse se sentiria?,muito amado,- Muito sozinho .,Alguém que se pega à rotina,B
48,48,O Remy queria ajudar pessoas menos afortunadas que eles.,O que os Outros vão querer fazer a seguir?,recusar ajuda,Faça o mesmo,ser útil,B
49,49,O Casey recusava o pedido da Addison para ir ao baile na sexta-feira.,O que é que a Addison precisa de fazer antes disto?,Rindo para sair disso,Peço ao Chase que vá.,Chorar para conseguir o que ela quer.,B
50,50,A Bailey ajudou a Taylor a mudar-se para o apartamento na cidade.,Porque é que a Bailey fez isto?,começar a procurar emprego,Mova o Taylor para dentro.,Decorar o apartamento.,B
51,51,Jesse imediatamente pediu ajuda a outros trabalhadores quando uma máquina caiu no pé deles.,Como se sentiriam os outros trabalhadores?,preocupação com Jesse,Estou feliz pelo Jesse.,como gentil,A
52,52,A Addison torceu o braço do Casey para sair para beber depois do trabalho.,O que vai acontecer ao Casey?,beber em casa,A desfrutar de sair,Vai comer sobremesa .,B
53,53,"Ash faltou ao trabalho por estar doente, mas não se deu ao trabalho de ligar para dizer que não estariam lá.",Como descreveria o Ash?,uma pessoa atenciosa,um empregado pobre,arrependidos por incomodarem o chefe,B
54,54,Os Austin passavam o tempo a ler porque não tinham mais nada para fazer.,O que é que o Austin vai querer fazer a seguir?,Estudo,dormir,comer,B
55,55,O Remy era desenvolvedor de web numa empresa de consultoria respeitada.,O que é que o Remy precisa de fazer antes disto?,Vai para a faculdade.,Desisti do liceu.,Queria ser bem sucedido.,A
56,56,O Lee vendeu uma televisão no Craigslist por um bom preço.,O que os Outros vão querer fazer a seguir?,Ganhar dinheiro extra para ver Lady Gaga,ganhar dinheiro para ajudar a família.,Compre a televisão.,C
57,57,"Depois de lutar com o jogo por vários meses, Taylor venceu.",O que é que a Taylor vai querer fazer a seguir?,Comece o nível de novo.,Tente novamente para vencê-lo.,Começar um novo jogo,C
58,58,Tracy recusou-se a reciclar e poupar energia para ajudar a proteger a Terra.,Como descreveria a Tracy?,importante para mudar hábitos,envergonhado,culpado,C
59,59,"O Remy levava o portátil para todo o lado, mas acabou por o esquecer num autocarro.",O que é que o Remy precisa de fazer antes disto?,Leva o portátil no autocarro.,Leva o portátil para a cozinha.,Estudo,A
60,60,O Remy deu mais dinheiro para a caridade depois de receberem o salário.,O que é que o Remy vai querer fazer a seguir?,apoiar a caridade,ser uma pessoa útil,Doem todo o dinheiro deles.,A
61,61,"O encontro era suposto ser o mais difícil, mas o Sasha bateu o recorde facilmente.",O que vai acontecer com o Sasha?,ser concedido,Tente vencer o Sasha .,Perder o troféu dela.,A
62,62,O Riley poupou muito tempo ao trabalho ao implementar uma nova solução de software.,Como é que a Riley se sentiria depois?,Inteligente,ineficaz,incompetente,A
63,63,"Quinn pediu emprego numa nova empresa, e esperava que o conseguisse.",O que é que o Quinn precisa de fazer antes disto?,Ligue para a empresa e grite com eles .,"Espera e, entretanto, manda um e-mail a outras empresas.",encontrar o novo emprego que ele queria,C
64,64,Alex agiu sob a raiva de Ash e quebrou a delicada tigela de porcelana.,Como se sentiria o Alex depois?,calma mas magoada com Ash,Forte e poderoso,Desculpem que quebraram a tigela.,C
65,65,Alex passa a música por cima algumas vezes com a turma.,O que é que o Alex vai querer fazer a seguir?,Dê-lhes um teste na música,Faça-os praticar uma nova canção.,Que aprendam uma nova canção.,A
66,66,A Kendall tinha o número da Sasha no telemóvel e nunca o apagou depois de ter um novo.,O que vai acontecer com o Sasha?,ser conhecido,ser famoso,ser refrescado,A
67,67,Houve um movimento de mulheres para levar a legislação aos tribunais.,O que é que o Aubrey precisa de fazer antes disto?,Quero mudança,Junte-se ao movimento,Entre no exército.,B
68,68,Taylor foi à igreja e disse ao padre que precisava de perdão pelos pecados.,O que é que a Taylor precisa de fazer antes disto?,Arrepende-te,Encontre um chuech,Seja rude.,B
69,69,A Bailey passou tempo na casa da Alex sempre que podiam.,O que vai acontecer com o Alex?,necessária,Fica perto do Alex.,Tornar-se como uma família,C
70,70,Bailey passou muito tempo com os amigos na casa da praia naquele verão.,O que é que a Bailey precisa de fazer antes disto?,Bebidas de cerveja,comprar uma casa na praia,Vai à praia.,C
71,71,"O Remy era a vaca preferida do Kai, por isso quando ele morreu, o Kai curtiu o couro do Remy.",Porque é que o Kai fez isto?,Pensei que a pele ficaria bem junto à lareira .,usar o couro como um fato de Halloween em Outubro .,"ver se vai gostar bem, como carne seca.",A
72,72,O Bailey levou o assunto nas mãos e decorou o lugar para a festa.,Como é que a Bailey se sentiria depois?,feliz por fazer o bolo parecer bonito,Estou contente que a festa seja boa.,Estou contente que o ponche seja bom.,B
73,73,"A Skylar estava a tentar tirar uma folha da cabeça do Jordan, por isso abanaram a cabeça dele.",Como descreveria a Skylar?,- Não.,Desagradável,Abusivo,B
74,74,O Lee matou a pessoa que estava a magoar o Austin porque amava o Austin com todo o coração.,Porque é que o Lee fez isto?,Cuidou do Austin.,Odiava o Austin.,O Austin queria ser magoado.,A
75,75,A Alex agiu no melhor interesse do Ash quando disseram ao professor o que aconteceu.,O que é que a Alex precisa de fazer antes disto?,Explique o que aconteceu ao Ash.,fazer,saber o que é melhor para eles,A
76,76,"A equipa precisava de um nome e perguntaram ao Jesse, já que ele era o capitão.",O que a equipa vai querer fazer a seguir?,Ganham jogos!,Perder jogos!,Faça um cartaz com a foto deles.,A
77,77,A Cameron teve notas perfeitas e foi para a lista dos diretores por causa disso.,Como se sentiria a Cameron depois?,Sorte .,Inteligente,Seria mal concebido.,B
78,78,"Mesmo que Kendall tivesse prometido ajudar, quando chegou a hora, Kendall deixou Jan em paz.",O que vai o Jan querer fazer a seguir?,passar mais tempo com eles,Evite completamente a Kendall.,não confiável,B
79,79,"O Lee visitou a mãe deles ilegalmente, que era uma fugitiva da lei.",O que vai acontecer ao Lee?,tornaste-te cúmplice,Não se colocarem nesse tipo de perigo.,Informar as mães onde se encontra para a aplicação da lei,A
80,80,A Ash estava a criar os filhos sozinha e as pessoas pensavam que ela não estava a ir bem.,O que é que o Ash vai querer fazer a seguir?,Era amoroso.,Continuem a vigiar os pais .,Faça o seu melhor.,C
81,81,"Como acontece a cada quatro meses, Alex foi ao médico para um exame de rotina e foi informado de que precisava descansar.",O que é que o Alex vai querer fazer a seguir?,Chame o médico,Acaba todos os seus projetos e adiar o resto .,Tirem férias do trabalho.,C
82,82,A Sydney fez a ligação da Skylar e conseguiu falar com a mãe dela.,Porque é que a Sydney fez isto?,Tirem-nos daqui .,Amado,Leva-os a comer.,A
83,83,"A Alex levou o Casey nos braços, que era a namorada e parceira dele de longa data, que se reuniu.",Porque é que a Alex fez isto?,Não vi o Casey.,Dá um beijo longo ao Casey.,abraçando o Casey por muito tempo,A
84,84,Quinn parou o carro por excesso de velocidade.,Como descreveria o Quinn?,negligente,um executor,Despreocupado,B
85,85,A Tracy estava a começar um trabalho de investigação e pediu emprestado uma tese para usar.,O que é que a Tracy precisa de fazer antes disto?,Vai para a aula.,Vai para o campo de bola.,pedir para usá-lo,C
86,86,A Robin achou que a Taylor passava demasiado tempo no portátil deles.,O que é que a Taylor vai querer fazer a seguir?,ser capaz de apoderar-se do portátil,Dá o portátil ao Robin .,ficar chateado com a Robin.,C
87,87,O Austin correu direto para a loja depois de descobrir que o novo jogo tinha sido lançado.,Porque é que o Austin fez isto?,poupar dinheiro,gastar o seu dinheiro,jogar o novo jogo de vídeo,C
88,88,A Kendall tinha alguns clientes que participaram da conferência.,O que vai acontecer com o Sasha?,ser introduzido,ser dispensado,Ela vai encontrá-los.,A
89,89,O Quinn saiu do médico com um ar muito triste e deprimido.,O que vai acontecer com o Sasha?,Pergunte-lhe sobre os resultados,grita com ele .,Errado,A
90,90,A Casey fez-lhe o almoço rapidamente quando chegou do trabalho.,O que é que o Casey precisa de fazer antes disto?,Vai para a casa dela.,comer enquanto trabalha,Come o almoço.,A
91,91,"A Sasha prometeu ao Robert que lhe traria os trabalhos de casa, mas esqueceu-se.",Como descreveria a Sasha?,como descuidados.,tão esperto,A Shasha que prometeu ao Robert,A
92,92,A Bailey tinha um grande projecto para a aula de História Americana na escola e trabalhou muito duro.,Como é que a Bailey se sentiria depois?,Muito trabalhador e estudioso.,Como se ela tivesse esquecido uma tarefa importante.,Como se ela tivesse feito algo importante.,C
93,93,Robin gerenciava bem a equipe no trabalho e completava todas as tarefas a tempo.,O que é que a Robin precisa de fazer antes disto?,ser recompensado em seguida,Ser responsável,começar um negócio,B
94,94,"Depois de pensar em convidar a Becky para sair durante semanas, Austin finalmente conseguiu a coragem e eles tornaram-se um casal no final da semana.",Como é que o Austin se sentiria depois?,Envergonhado e triste.,Alguém que possa superar os seus medos .,Felizes por terem corrido o risco .,C
95,95,A Sydney deu um conselho ao Ash sobre pescar fora da ponte.,Como se sentiria Ash?,muito zangado,Muito informado,Conhecimento de pesca,C
96,96,A Robin era uma pro em comer comida chinesa e ensinou-os a usar pauzinhos.,O que os Outros vão querer fazer a seguir?,Aprenda depressa,Como comida chinesa.,cuspir comida,A
97,97,"O Ash levou o portátil para o consertar, mas a loja não pôde fazer nada.",Como é que o Ash se sentiria depois?,Desculpa.,frustrado depois.,inútil depois.,B
98,98,"Para surpresa de todos os amigos, quando lhe pediram para falar, Quinn falava japonês fluentemente.",Porque é que o Quinn fez isto?,Parece que ela era japonesa .,Seja um ostentador .,Surpreender os amigos dela .,C
99,99,Skylar comprou almoço no outro dia para o amigo no restaurante preferido deles.,Como descreveria a Skylar?,Tão simpático.,Amigável,Como conversador,A
100,100,O Jesse tirou o casaco da Sasha porque estava a ficar muito quente no quarto.,Porque é que o Jesse fez isto?,Fala com o Jesse .,Aborrecido.,- É bom.,C
101,101,A Quinn deixou cair a folha do livro da Sydney que ela estava a usar como marcador.,O que quer o Quinn fazer a seguir?,Atira a folha fora.,Põe-no de volta no livro.,arranjar uma nova folha,B
102,102,O Lee colocou a mão nos lábios da Skylar porque queria que ela parasse de falar imediatamente.,Como é que a Skylar se sentiria?,apoiado por Lee,Insultado por Lee.,Alguém que faz o que quiserem.,B
103,103,Sasha mandou Taylor para casa depois de se queixarem de estar doente no trabalho.,Como se sentiria Taylor?,Como ir para casa.,doente,Como um mentiroso.,B
104,104,Tracy visitou a mãe de Cameron no lar de idosos e trouxe alguns lanches para eles.,Porque é que a Tracy fez isto?,comer,Certificar-me que a mãe da Cameron não estava sozinha.,falar,B
105,105,A Casey levava-o para todo o lado com a Robin porque não queria perdê-lo.,Porque fez o Casey isto?,Ela cuidou dele .,Ela não queria.,Ela queria perdê-lo .,A
106,106,Cameron chegou em casa e não encontrou ninguém lá dentro.,O que é que a Cameron vai querer fazer a seguir?,Entrem na casa,Roubar da casa.,Roubar a casa .,A
107,107,Sasha conheceu os clientes da Kendall na conferência e roubou-lhes o negócio.,O que vai acontecer com a Kendall quando isto acontecer?,aumentar o seu pessoal para assumir o novo negócio,Encontrar-se com os clientes para satisfazer as suas necessidades.,Perder clientes,C
108,108,"O lugar estava muito lotado para sentar, por isso a Tracy encontrou outro lugar para ir.",O que é que a Tracy vai querer fazer a seguir?,Vai trabalhar.,Vai para casa.,Encontrar um lugar para sentar,C
109,109,O Austin manteve a fita no lugar enquanto o pai tomava medidas da sala.,O que é que o Austin vai querer fazer a seguir?,Leva o pai com o quarto.,Deixe o pai trabalhar sozinho.,fechado,A
110,110,Kai notou que todos foram convidados para a festa e quis vir também.,Como se sente o Kai?,Deixado de fora,não desejado,Sinto curiosidade por ir,A
111,111,A Quinn superou todos os obstáculos na carreira universitária.,Como se sentiria o Quinn depois?,inteligente,muito preguiçoso.,Como um sucesso,C
112,112,O Lee saiu da prisão por agredir o Kai.,Como é que o Kai se sentiria?,Estou feliz por ele.,- Assustado com ele.,orgulhoso dele.,B
113,113,"Jesse tinha muitos talentos, mas ele se recusou a trabalhar em qualquer trabalho.",Porque é que o Jesse fez isto?,ensinar aos outros os seus talentos,sangueira fora do sistema,encontrar um emprego que ele goste,B
114,114,A Addison comprou os bilhetes a um preço alto antes do show começar e correu para dentro.,O que é que a Addison precisa de fazer antes disto?,Peça à Becky para ficar na fila .,Arranja bilhetes grátis para o espectáculo da próxima semana .,Arranja os bilhetes antes que se esgotem .,C
115,115,Cameron conheceu o marido da Kendall que tinha todas as qualidades que Cameron procurava num homem.,Como se sentiria a Cameron depois?,Estou feliz pela Kendall .,saudade,zangado com a Kendall.,B
116,116,"A Tracy era sempre do tipo que gostava de festas, estava entusiasmada por ser o seu aniversário e convidava pessoas para a sua casa.",Porque é que a Tracy fez isto?,Adorei a cena da festa.,socializar,Não era a rapariga da festa.,B
117,117,O Bailey usava as mãos para comunicar aos outros os resultados do teste.,Como descreveria a Bailey?,Sentir-se amado,entusiasmado com a nota de aprovação,Sentir-se entediado,B
118,118,Lee foi para a faculdade nos últimos 6 meses sem poder tirar férias. Lee finalmente teve um fim de semana de folga da escola e do trabalho.,Porque é que o Lee fez isto?,Leva-a a jantar.,Ajudá-la em casa com reparos de casa,Veja a família.,C
119,119,"O Carson não estava em casa e a Tracy estava aborrecida, por isso a Tracy juntou o quebra-cabeça do Carson.",Como se sentiria a Tracy depois?,Orgulhoso.,Assustado.,Chocado .,A
120,120,"Devido ao seu amor pelo animal, Ash impediu que seu cão se movesse.",Como descreveria o Ash?,Ama impedir que os cães se movam.,triste,Fica com o animal dele .,C
121,121,Cameron inclinou a cabeça de vergonha depois de perder o jogo por muito.,O que é que a Cameron vai querer fazer a seguir?,Aborrecido.,Perder o jogo.,orgulhoso,C
122,122,O Austin ajudou outro colega porque ele precisava de ajuda.,Como se sentiriam os Outros?,surpreendida.,inveja,negligenciado,B
123,123,A Ryley não sabia que os cortes tinham sido um isco.,Como descreveria a Riley?,Feliz.,Como uma pessoa triste.,Chocado .,C
124,124,A Sydney foi acampar com um bom amigo deles e divertiu-se.,O que é que a Sydney vai querer fazer a seguir?,reparar uma janela,dormir numa tenda,comprar um telemóvel,B
125,125,"A mãe da Tracy Cameron estava no hospital, e um dia ela veio visitar-me.",Como se sentiria a Tracy depois?,atencioso,Senti triste por vê-la em mau estado .,Sentia-se feliz por ter sido hospitalizada.,B
126,126,Austin ajudou outra família quando eles estavam necessitados.,O que é que o Austin precisa de fazer antes disto?,Verificar a família .,Aproximar-se da família,Faça um plano,A
127,127,Quinn falava espanhol fluentemente e comunicava em nome daqueles que não falavam.,Como descreveria o Quinn?,feliz,- Compreendido.,Ajuda mais a seguir.,B
128,128,"Quando o Remy disse à Sasha que se iam mudar para outro país, a Sasha sentiu que o Remy tinha virado a vida dela de cabeça para baixo.",O que vai acontecer ao Remy?,Não gosto da atitude da Sasha.,Menina Remy.,Tente fazer o Sasha entusiasmar-se com a mudança.,C
129,129,O rosto do Aubrey ficou vermelho depois de se sufocarem com um pedaço de frango.,O que é que o Aubrey vai querer fazer a seguir?,Diz ao empregado que traga a conta .,Façam a manobra sozinhos.,"Faz o ""hockey-pokey"" e vira-te.",B
130,130,A Addison ligou para o banco no dia seguinte para saber o que aconteceu com o depósito.,O que é que a Addison vai querer fazer a seguir?,ir ao banco pessoalmente,Reclamar ao banco.,- Vai buscar o dinheiro .,C
131,131,O Lee deixou o carro da Taylor na oficina durante a noite para ser reparado.,O que é que o Lee vai querer fazer a seguir?,Faz um favor à Taylor.,Vou buscar o carro de manhã .,Devolve o carro ao Taylor .,B
132,132,"O Riley trabalhou muito para fazer um bolo para a festa do trabalho, ele sabe que toda a gente gosta de bolo no escritório.",Como se sentiriam os Outros?,Os outros vão ficar entediados com a ideia.,atencioso,feliz,C
133,133,O aniversário do Aubrey estava a aproximar-se e a Cameron decidiu surpreendê-los.,O que é que o Aubrey vai querer fazer a seguir?,Abraço Cameron,cuspir no Cameron,Planeia uma festa.,C
134,134,Ash agradeceu ao pai de Aubrey por toda a ajuda e orientação que ele lhe tinha dado.,Como descreveria o Ash?,Despreciativo,agradecido,Agradecido por toda a ajuda e orientação que o pai do Aubrey deu.,B
135,135,As pessoas convidavam o Kai porque ele seria divertido numa festa devido à sua energia.,Como se sentiriam os Outros?,que se divertiam .,Lamento ter convidado o Kai.,Que estavam entediados.,A
136,136,Jordan começou uma banda com os amigos e divertiu-se a fazer músicas.,Como descreveria o Jordan?,sentir-se preguiçoso,Como se o tempo fosse bem gasto.,sentir orgulho,C
137,137,O Bailey voltou por segundos no jantar porque a comida era boa.,O que é que a Bailey precisa de fazer antes disto?,de comer alguma coisa,de pedidos de alguns,falar sobre comida,A
138,138,"Todas as sextas-feiras, o Marcus Theatres® oferece ingressos especiais para pessoas com 60 anos ou mais. Venha e aproveite um filme em qualquer Marcus Theatres® com o nosso especial Young at Heart®  apenas $6.00 para qualquer show que comece antes das 17h30.",O que é que a Addison precisa de fazer antes disto?,Os membros da AMC Stubs também podem obter estates baratos com um Cameo Combo de US$ 5 (bebida de fonte e pipoca de tamanho Cameo),"em qualquer AMC ou AMC CLASSIC® cinemas, ou um $10 Flatbread em participantes AMC DINE-INTM cinemas. ... O $5 terça-feira desconto se aplica a shows apenas às terças-feiras.","Nenhuma criança de 6 anos ou menos é permitida num filme classificado como ""R""",A
139,139,"Jesse esperava mesmo escrever livros, mas ainda não tinha conseguido, por isso Jesse publicou artigos em revistas.",Como descreveria o Jesse?,qualificado,Orientação para objectivos,Pessoa preguiçosa.,B
140,140,O Tracy incluiu outra dica para saber o que lhe comprar.,O que é que a Tracy vai querer fazer a seguir?,Mencionar a primeira dica,Ignora-o .,Mostra-lhe o que comprar.,A
141,141,A Aubrey pegou algum dinheiro dos pais dela e comprou almoço com ele.,Como descreveria o Aubrey?,Cheio,egoísta,Honesto.,B
142,142,O Quin chamou a atenção do Lee.,Porque é que o Quinn fez isto?,Fala com o Lee.,Ajudar a distrair o Lee.,Leva o Lee a trabalhar .,C
143,143,O Robin determinou que a sorte deles era dar o melhor de si.,Porque é que a Robin fez isto?,orgulhoso,Decidir como fazê-lo,Sorte .,B
144,144,"A Robin deu doces às crianças, mas não eram do bom tipo.",O que as crianças vão querer fazer a seguir?,Atira no Robin.,Vai para outra casa.,convencer as crianças a aceitarem os doces,B
145,145,"O Carson sempre foi conhecido por ser mentiroso, nunca diz a verdade.",O que os Outros vão querer fazer a seguir?,Tenha esperança para a mudança do Carson.,Ignora o Carson .,dizer mentiras,B
146,146,Kai pintou a cidade de vermelho naquele dia e divertiu-se muito.,O que é que o Kai precisa de fazer antes disto?,Pergunte sobre diversão,Diverte-te,Vivo na cidade,C
147,147,O Quinn podia saltar muito alto e facilmente apanhava um slam dunk.,Como se sentiriam os Outros?,como realizado,irritado com o Quinn.,Entretenido por Quinn,C
148,148,"A Addison tinha um segredo para guardar, mas contou ao meu amigo.",Como descreveria a Addison?,- É bom.,simpático,irritante,C
149,149,A Alex colocou o peixe que acabaram de apanhar na boca da Jan.,Como se sentiria Jan?,Como comer sushi.,Como dar um murro na Alex.,Feliz com o Alex.,B
150,150,O Casey mastigou o filhote porque eles pensaram que era uma vaca.,Como é que o Casey se sentiria depois?,Como se agisse como um humano.,Como beberem de um poço,um comedor de carne,C
151,151,"Carson não era bom a expressar-se, por isso encontrou um livro para descrever melhor os seus sentimentos.",Como descreveria o Carson?,como esperançoso,como deprimido,mais calmo.,A
152,152,O Lee voou para a Robin por causa das grandes notícias sobre o circo que vem à cidade.,Como se sentiria Robin?,extático,Querendo contar,Aborrecido.,A
